1.1,1.15,1.2,1.225,1.3,1.325,1.4,1.45,1.5,1.55,0.00010803,7.5261e-05,7.8122e-05,6.5625e-05,6.6359e-05,6.0426e-05,6.4905e-05,5.7981e-05,5.9719e-05,5.7556e-05,0.40741,0.42593,0.44444,0.4537,0.48148,0.49074,0.51852,0.53704,0.55556,0.57407,1.1,0.05,0.05,0.025,0.075,0.025,0.075,0.05,0.05,0.05,1.15,0.00010803,3.2774e-05,1.2496e-05,5.9332e-06,6.9241e-06,2.1634e-06,1.738e-06,4.4795e-06,7.3351e-07,2.8607e-06,3.7652e-05,0.40741,0.018519,0.018519,0.0092593,0.027778,0.0092593,0.027778,0.018519,0.018519,0.018519,0.42593,0,3.2774e-05,2.8607e-06,1.2496e-05,7.3351e-07,5.9332e-06,4.4795e-06,6.9241e-06,1.738e-06,2.1634e-06,0,0.30336,0.11567,0.05492,0.064091,0.020025,0.016088,0.041464,0.0067896,0.026479,0.34852,0,1,0.69664,0.72312,0.60745,0.61424,0.55932,0.60078,0.53669,0.55278,0.53275
1.1,1.15,1.2,1.25,1.3,1.325,1.4,1.45,1.5,1.7,7.9919e-05,5.4284e-05,5.9355e-05,4.3326e-05,4.5382e-05,4.1613e-05,4.5853e-05,3.8835e-05,4.3195e-05,2.5855e-05,0.37931,0.39655,0.41379,0.43103,0.44828,0.4569,0.48276,0.5,0.51724,0.58621,1.1,0.05,0.05,0.05,0.05,0.025,0.075,0.05,0.05,0.2,1.2,7.9919e-05,2.5634e-05,1.6029e-05,3.7691e-06,7.0183e-06,1.7339e-05,4.3598e-06,4.2405e-06,2.0555e-06,5.0709e-06,3.2215e-05,0.37931,0.017241,0.017241,0.017241,0.017241,0.0086207,0.025862,0.017241,0.017241,0.068966,0.41379,0,2.5634e-05,5.0709e-06,1.6029e-05,2.0555e-06,3.7691e-06,4.2405e-06,7.0183e-06,4.3598e-06,1.7339e-05,0,0.32076,0.20057,0.047161,0.087819,0.21696,0.054554,0.053061,0.02572,0.063451,0.4031,0,1,0.67924,0.74269,0.54213,0.56785,0.52069,0.57375,0.48593,0.54048,0.32352
1,1.025,1.1,1.125,1.2,1.25,1.3,1.35,1.4,1.45,8.1233e-05,6.2952e-05,7.4317e-05,5.8175e-05,7.3396e-05,5.5878e-05,6.4118e-05,4.8723e-05,5.5906e-05,4.7912e-05,0.32258,0.33065,0.35484,0.3629,0.3871,0.40323,0.41935,0.43548,0.45161,0.46774,1,0.025,0.075,0.025,0.075,0.05,0.05,0.05,0.05,0.05,1.65,8.1233e-05,1.8282e-05,1.6143e-05,1.7519e-05,1.5395e-05,7.9935e-06,7.1825e-06,8.2405e-06,1.5222e-05,1.1366e-05,4.8127e-05,0.32258,0.0080645,0.024194,0.0080645,0.024194,0.016129,0.016129,0.016129,0.016129,0.016129,0.53226,0,1.8282e-05,1.1366e-05,1.6143e-05,1.5222e-05,1.7519e-05,8.2405e-06,1.5395e-05,7.1825e-06,7.9935e-06,0,0.22505,0.19872,0.21566,0.18952,0.098402,0.088418,0.10144,0.18738,0.13991,0.59245,0,1,0.77495,0.91486,0.71614,0.90353,0.68787,0.78931,0.59979,0.68821,0.58981
1.2,1.225,1.3,1.35,1.4,1.425,1.45,1.525,1.6,1.65,7.9573e-05,5.8838e-05,7.3207e-05,5.3695e-05,5.9225e-05,5.1928e-05,5.3156e-05,4.4103e-05,5.0044e-05,4.3426e-05,0.41379,0.42241,0.44828,0.46552,0.48276,0.49138,0.5,0.52586,0.55172,0.56897,1.2,0.025,0.075,0.05,0.05,0.025,0.025,0.075,0.075,0.05,1.25,7.9573e-05,2.0734e-05,1.9511e-05,7.2976e-06,9.0529e-06,6.6174e-06,5.9407e-06,1.2282e-06,5.5302e-06,1.4368e-05,4.622e-05,0.41379,0.0086207,0.025862,0.017241,0.017241,0.0086207,0.0086207,0.025862,0.025862,0.017241,0.43103,0,2.0734e-05,1.4368e-05,1.9511e-05,5.5302e-06,7.2976e-06,1.2282e-06,9.0529e-06,5.9407e-06,6.6174e-06,0,0.26057,0.2452,0.09171,0.11377,0.083162,0.074657,0.015435,0.069498,0.18057,0.58085,0,1,0.73943,0.92,0.6748,0.74429,0.65258,0.66802,0.55425,0.62891,0.54574
1.2,1.225,1.3,1.35,1.4,1.45,1.5,1.525,1.6,1.625,8.0514e-05,6.0223e-05,7.724e-05,5.6032e-05,6.8505e-05,5.2263e-05,5.4355e-05,4.8789e-05,5.7264e-05,4.9002e-05,0.3871,0.39516,0.41935,0.43548,0.45161,0.46774,0.48387,0.49194,0.51613,0.52419,1.2,0.025,0.075,0.05,0.05,0.05,0.05,0.025,0.075,0.025,1.475,8.0514e-05,2.0291e-05,2.1208e-05,1.6242e-05,5.5664e-06,8.2621e-06,8.475e-06,2.0921e-06,1.2473e-05,1.7017e-05,5.3118e-05,0.3871,0.0080645,0.024194,0.016129,0.016129,0.016129,0.016129,0.0080645,0.024194,0.0080645,0.47581,0,2.0291e-05,1.7017e-05,2.1208e-05,1.2473e-05,1.6242e-05,2.0921e-06,5.5664e-06,8.475e-06,8.2621e-06,0,0.25202,0.26341,0.20173,0.069135,0.10262,0.10526,0.025984,0.15492,0.21135,0.65974,0,1,0.74798,0.95934,0.69593,0.85085,0.64911,0.6751,0.60596,0.71122,0.60861
1,1.05,1.1,1.125,1.2,1.25,1.3,1.325,1.4,1.425,7.9969e-05,5.8188e-05,7.5542e-05,6.0005e-05,7.1836e-05,5.5398e-05,6.0704e-05,5.4928e-05,7.8626e-05,6.0368e-05,0.30303,0.31818,0.33333,0.34091,0.36364,0.37879,0.39394,0.40152,0.42424,0.43182,1,0.05,0.05,0.025,0.075,0.05,0.05,0.025,0.075,0.025,1.875,7.9969e-05,2.1781e-05,1.5537e-05,1.6438e-05,5.7768e-06,1.8258e-05,2.3699e-05,5.3068e-06,1.1831e-05,1.7355e-05,4.4386e-05,0.30303,0.015152,0.015152,0.0075758,0.022727,0.015152,0.015152,0.0075758,0.022727,0.0075758,0.56818,0,2.1781e-05,1.7355e-05,1.5537e-05,1.1831e-05,1.6438e-05,5.3068e-06,5.7768e-06,2.3699e-05,1.8258e-05,0,0.27237,0.19429,0.20556,0.072238,0.22832,0.29635,0.066361,0.14795,0.21702,0.55505,0,1,0.72763,0.94465,0.75035,0.8983,0.69274,0.7591,0.68687,0.98321,0.7549
1.7,1.75,1.8,1.825,1.9,1.925,2,2.05,2.1,2.175,7.547e-05,5.2841e-05,5.7389e-05,4.8377e-05,5.1952e-05,4.4288e-05,5.4637e-05,4.5339e-05,4.9804e-05,4.0119e-05,0.53125,0.54688,0.5625,0.57031,0.59375,0.60156,0.625,0.64063,0.65625,0.67969,1.7,0.05,0.05,0.025,0.075,0.025,0.075,0.05,0.05,0.075,1.025,7.547e-05,2.2628e-05,9.0121e-06,7.6641e-06,9.2971e-06,9.685e-06,4.4647e-06,1.0349e-05,3.5746e-06,4.548e-06,3.2392e-05,0.53125,0.015625,0.015625,0.0078125,0.023438,0.0078125,0.023438,0.015625,0.015625,0.023438,0.32031,0,2.2628e-05,4.548e-06,9.0121e-06,3.5746e-06,7.6641e-06,1.0349e-05,9.2971e-06,4.4647e-06,9.685e-06,0,0.29983,0.11941,0.10155,0.12319,0.12833,0.059158,0.13712,0.047365,0.060262,0.42921,0,1,0.70017,0.76043,0.64102,0.68838,0.58683,0.72395,0.60076,0.65992,0.53159
1.6,1.625,1.7,1.75,1.8,1.825,1.875,1.925,2,2.1,7.0853e-05,5.2495e-05,5.5627e-05,4.2468e-05,5.0485e-05,4.549e-05,4.7237e-05,4.1955e-05,4.6491e-05,3.2832e-05,0.48485,0.49242,0.51515,0.5303,0.54545,0.55303,0.56818,0.58333,0.60606,0.63636,1.6,0.025,0.075,0.05,0.05,0.025,0.05,0.05,0.075,0.1,1.2,7.0853e-05,1.8358e-05,1.3159e-05,4.9953e-06,5.2823e-06,1.3659e-05,4.5363e-06,1.747e-06,8.0173e-06,3.1314e-06,2.8934e-05,0.48485,0.0075758,0.022727,0.015152,0.015152,0.0075758,0.015152,0.015152,0.022727,0.030303,0.36364,0,1.8358e-05,3.1314e-06,1.3159e-05,8.0173e-06,4.9953e-06,1.747e-06,5.2823e-06,4.5363e-06,1.3659e-05,0,0.2591,0.18572,0.070502,0.074553,0.19278,0.064024,0.024657,0.11315,0.044196,0.40837,0,1,0.7409,0.7851,0.59938,0.71253,0.64203,0.66668,0.59213,0.65616,0.46338
1.7,1.75,1.8,1.925,2,2.05,2.1,2.125,2.2,2.225,8.6417e-05,5.8572e-05,7.0396e-05,4.3515e-05,5.0813e-05,4.057e-05,4.2693e-05,4.1019e-05,4.2339e-05,4.1148e-05,0.51515,0.5303,0.54545,0.58333,0.60606,0.62121,0.63636,0.64394,0.66667,0.67424,1.7,0.05,0.05,0.125,0.075,0.05,0.05,0.025,0.075,0.025,1.075,8.6417e-05,2.7845e-05,2.6881e-05,1.0242e-05,1.6745e-06,1.1919e-06,1.3209e-06,2.1226e-06,7.2974e-06,1.1825e-05,4.1043e-05,0.51515,0.015152,0.015152,0.037879,0.022727,0.015152,0.015152,0.0075758,0.022727,0.0075758,0.32576,0,2.7845e-05,1.1825e-05,2.6881e-05,7.2974e-06,1.0242e-05,2.1226e-06,1.6745e-06,1.3209e-06,1.1919e-06,0,0.32222,0.31106,0.11852,0.019377,0.013792,0.015285,0.024562,0.084444,0.13683,0.47494,0,1,0.67778,0.81461,0.50355,0.58799,0.46947,0.49404,0.47466,0.48994,0.47615
1.2,1.225,1.3,1.325,1.4,1.475,1.5,1.525,1.575,1.625,6.9495e-05,5.4012e-05,6.6387e-05,5.0195e-05,6.0856e-05,4.5312e-05,4.6753e-05,4.3275e-05,4.5016e-05,4.0759e-05,0.3871,0.39516,0.41935,0.42742,0.45161,0.47581,0.48387,0.49194,0.50806,0.52419,1.2,0.025,0.075,0.025,0.075,0.075,0.025,0.025,0.05,0.05,1.475,6.9495e-05,1.5483e-05,1.6192e-05,1.5544e-05,3.4779e-06,4.2571e-06,1.7411e-06,1.4407e-06,1.066e-05,1.2375e-05,4.3352e-05,0.3871,0.0080645,0.024194,0.0080645,0.024194,0.024194,0.0080645,0.0080645,0.016129,0.016129,0.47581,0,1.5483e-05,1.2375e-05,1.6192e-05,1.066e-05,1.5544e-05,1.4407e-06,3.4779e-06,1.7411e-06,4.2571e-06,0,0.22279,0.23299,0.22367,0.050045,0.061257,0.025054,0.02073,0.1534,0.17806,0.62381,0,1,0.77721,0.95527,0.72229,0.87568,0.65202,0.67275,0.6227,0.64776,0.5865
1.2,1.225,1.3,1.325,1.4,1.425,1.5,1.525,1.6,1.625,8.0213e-05,6.2276e-05,6.9186e-05,5.5018e-05,6.4197e-05,5.2877e-05,6.6182e-05,5.46e-05,7.9205e-05,6.4861e-05,0.41379,0.42241,0.44828,0.4569,0.48276,0.49138,0.51724,0.52586,0.55172,0.56034,1.2,0.025,0.075,0.025,0.075,0.025,0.075,0.025,0.075,0.025,1.275,8.0213e-05,1.7937e-05,1.4168e-05,1.132e-05,1.1582e-05,1.4344e-05,2.4605e-05,1.3305e-05,9.1783e-06,6.9102e-06,6.5503e-05,0.41379,0.0086207,0.025862,0.0086207,0.025862,0.0086207,0.025862,0.0086207,0.025862,0.0086207,0.43966,0,1.7937e-05,6.9102e-06,1.4168e-05,9.1783e-06,1.132e-05,1.3305e-05,1.1582e-05,2.4605e-05,1.4344e-05,0,0.22362,0.17663,0.14113,0.14439,0.17882,0.30675,0.16588,0.11442,0.086149,0.81661,0,1,0.77638,0.86253,0.6859,0.80033,0.6592,0.82508,0.68068,0.98743,0.80861
1.4,1.425,1.5,1.525,1.575,1.625,1.7,1.75,1.8,1.825,8.4391e-05,6.4822e-05,7.8298e-05,5.9773e-05,6.019e-05,5.0873e-05,5.8657e-05,4.7103e-05,5.8919e-05,5.0951e-05,0.48276,0.49138,0.51724,0.52586,0.5431,0.56034,0.58621,0.60345,0.62069,0.62931,1.4,0.025,0.075,0.025,0.05,0.05,0.075,0.05,0.05,0.025,1.075,8.4391e-05,1.9569e-05,1.8526e-05,9.3169e-06,1.1554e-05,7.9683e-06,1.1816e-05,7.7838e-06,4.174e-07,1.3477e-05,4.4769e-05,0.48276,0.0086207,0.025862,0.0086207,0.017241,0.017241,0.025862,0.017241,0.017241,0.0086207,0.37069,0,1.9569e-05,1.3477e-05,1.8526e-05,4.174e-07,9.3169e-06,7.7838e-06,1.1554e-05,1.1816e-05,7.9683e-06,0,0.23188,0.21952,0.1104,0.13691,0.094422,0.14002,0.092235,0.0049461,0.15969,0.5305,0,1,0.76812,0.92781,0.70829,0.71323,0.60283,0.69507,0.55815,0.69817,0.60375
