2.9,2.95,3,3.2,3.225,3.3,3.325,3.4,3.425,3.5,0.00013571,7.8658e-05,0.00012368,1.0397e-05,1.6837e-05,9.9661e-07,1.3308e-05,2.7398e-05,1.502e-06,1.1174e-05,0.725,0.7375,0.75,0.8,0.80625,0.825,0.83125,0.85,0.85625,0.875,2.9,0.05,0.05,0.2,0.025,0.075,0.025,0.075,0.025,0.075,0.5,0.00013571,5.7051e-05,0.00011328,1.7833e-05,4.0706e-05,1.2676e-05,2.89e-05,1.4304e-05,6.4397e-06,4.502e-05,1.65e-05,0.725,0.0125,0.0125,0.05,0.00625,0.01875,0.00625,0.01875,0.00625,0.01875,0.125,0,5.7051e-05,4.502e-05,0.00011328,6.4397e-06,1.7833e-05,1.4304e-05,4.0706e-05,2.89e-05,1.2676e-05,0,0.42039,0.83473,0.13141,0.29995,0.093403,0.21296,0.10541,0.047452,0.33174,0.12158,0,1,0.57961,0.91134,0.076612,0.12406,0.0073437,0.098061,0.20189,0.011068,0.082335
0.3,0.35,0.4,0.5,0.525,0.6,0.625,0.7,0.725,0.8,0.0001025,8.1741e-05,8.833e-05,6.2469e-05,6.4212e-05,5.4698e-05,5.9942e-05,4.1e-05,5.777e-05,4.134e-05,0.071429,0.083333,0.095238,0.11905,0.125,0.14286,0.14881,0.16667,0.17262,0.19048,0.3,0.05,0.05,0.1,0.025,0.075,0.025,0.075,0.025,0.075,3.4,0.0001025,2.0757e-05,2.5861e-05,9.5138e-06,1.8943e-05,1.643e-05,1.677e-05,5.2444e-06,1.7427e-06,6.5889e-06,6.6397e-06,0.071429,0.011905,0.011905,0.02381,0.0059524,0.017857,0.0059524,0.017857,0.0059524,0.017857,0.80952,0,2.0757e-05,6.5889e-06,2.5861e-05,1.7427e-06,9.5138e-06,5.2444e-06,1.8943e-05,1.677e-05,1.643e-05,0,0.20252,0.2523,0.092819,0.18481,0.16029,0.16361,0.051166,0.017002,0.064283,0.064778,0,1,0.79748,0.86177,0.60947,0.62647,0.53365,0.58481,0.4,0.56362,0.40332
2.2,2.3,2.4,2.525,2.6,2.625,2.65,2.75,2.9,3,0.00021798,0.00012986,0.00017047,0.00016283,0.00017778,0.00017236,0.00017593,0.00015077,0.00016505,0.00015725,0.52381,0.54762,0.57143,0.60119,0.61905,0.625,0.63095,0.65476,0.69048,0.71429,2.2,0.1,0.1,0.125,0.075,0.025,0.025,0.1,0.15,0.1,1.2,0.00021798,8.8123e-05,7.6434e-06,5.416e-06,2.516e-05,7.8052e-06,1.4278e-05,3.5692e-06,1.4951e-05,4.0611e-05,0.00012422,0.52381,0.02381,0.02381,0.029762,0.017857,0.0059524,0.0059524,0.02381,0.035714,0.02381,0.28571,0,8.8123e-05,4.0611e-05,7.6434e-06,1.4951e-05,5.416e-06,3.5692e-06,2.516e-05,1.4278e-05,7.8052e-06,0,0.40426,0.035064,0.024846,0.11542,0.035806,0.065499,0.016374,0.068587,0.1863,0.56986,0,1,0.59574,0.78204,0.74697,0.81556,0.79072,0.80709,0.69167,0.75717,0.72136
1.2,1.25,1.3,1.4,1.5,1.675,1.8,1.9,2.2,2.3,0.00018144,0.00014292,0.00014944,0.00012632,0.0001652,0.00011557,0.00016586,0.00011461,0.00013542,0.00012434,0.28571,0.29762,0.30952,0.33333,0.35714,0.39881,0.42857,0.45238,0.52381,0.54762,1.2,0.05,0.05,0.1,0.1,0.175,0.125,0.1,0.3,0.1,1.9,0.00018144,3.8521e-05,2.3125e-05,4.9631e-05,5.1253e-05,1.1079e-05,2.081e-05,5.0294e-05,3.8882e-05,6.5253e-06,0.00010291,0.28571,0.011905,0.011905,0.02381,0.02381,0.041667,0.029762,0.02381,0.071429,0.02381,0.45238,0,3.8521e-05,6.5253e-06,2.3125e-05,3.8882e-05,4.9631e-05,5.0294e-05,5.1253e-05,2.081e-05,1.1079e-05,0,0.21231,0.12745,0.27354,0.28248,0.061064,0.11469,0.2772,0.2143,0.035965,0.56719,0,1,0.78769,0.82365,0.6962,0.9105,0.63695,0.91415,0.63167,0.74636,0.6853
1.5,1.55,1.6,1.675,1.7,1.8,2,2.05,2.1,2.125,0.00013552,0.00011821,0.00013331,0.00010548,0.00010728,9.6436e-05,0.00011199,0.00010694,0.00011235,0.00011011,0.31915,0.32979,0.34043,0.35638,0.3617,0.38298,0.42553,0.43617,0.44681,0.45213,1.5,0.05,0.05,0.075,0.025,0.1,0.2,0.05,0.05,0.025,2.575,0.00013552,1.7307e-05,2.7831e-05,1.0847e-05,5.0519e-06,2.2411e-06,5.4134e-06,1.5554e-05,1.8014e-06,1.51e-05,5.1505e-05,0.31915,0.010638,0.010638,0.015957,0.0053191,0.021277,0.042553,0.010638,0.010638,0.0053191,0.54787,0,1.7307e-05,1.51e-05,2.7831e-05,1.8014e-06,1.0847e-05,1.5554e-05,5.0519e-06,5.4134e-06,2.2411e-06,0,0.12771,0.20536,0.080043,0.037278,0.016537,0.039945,0.11477,0.013293,0.11142,0.38005,0,1,0.87229,0.98371,0.77835,0.79164,0.7116,0.82637,0.7891,0.82904,0.8125
0.3,0.425,0.5,0.55,0.6,0.625,0.7,0.725,0.75,0.825,9.9543e-05,5.2047e-05,7.2814e-05,5.7669e-05,6.053e-05,5.2877e-05,5.9804e-05,5.4407e-05,5.5551e-05,5.0102e-05,0.075,0.10625,0.125,0.1375,0.15,0.15625,0.175,0.18125,0.1875,0.20625,0.3,0.125,0.075,0.05,0.05,0.025,0.075,0.025,0.025,0.075,3.175,9.9543e-05,4.7496e-05,1.5145e-05,7.6526e-06,5.3975e-06,5.4495e-06,1.1446e-06,6.9271e-06,2.8611e-06,2.0767e-05,8.5553e-05,0.075,0.03125,0.01875,0.0125,0.0125,0.00625,0.01875,0.00625,0.00625,0.01875,0.79375,0,4.7496e-05,2.0767e-05,1.5145e-05,2.8611e-06,7.6526e-06,6.9271e-06,5.3975e-06,1.1446e-06,5.4495e-06,0,0.47714,0.15215,0.076878,0.054223,0.054745,0.011498,0.069589,0.028743,0.20862,0.85946,0,1,0.52286,0.73148,0.57934,0.60808,0.5312,0.60079,0.54657,0.55806,0.50332
1,1.05,1.1,1.125,1.2,1.225,1.3,1.325,1.4,1.45,0.00013518,9.2781e-05,0.00010249,9.171e-05,9.4658e-05,9.3117e-05,0.00010639,9.0061e-05,0.00012617,8.5438e-05,0.23256,0.24419,0.25581,0.26163,0.27907,0.28488,0.30233,0.30814,0.32558,0.33721,1,0.05,0.05,0.025,0.075,0.025,0.075,0.025,0.075,0.05,2.85,0.00013518,4.2396e-05,1.0779e-05,1.5412e-06,1.6325e-05,4.0737e-05,3.6113e-05,1.327e-05,2.9476e-06,9.7087e-06,7.4359e-05,0.23256,0.011628,0.011628,0.005814,0.017442,0.005814,0.017442,0.005814,0.017442,0.011628,0.66279,0,4.2396e-05,9.7087e-06,1.0779e-05,2.9476e-06,1.5412e-06,1.327e-05,1.6325e-05,3.6113e-05,4.0737e-05,0,0.31364,0.07974,0.011401,0.12077,0.30136,0.26716,0.098167,0.021805,0.071822,0.55008,0,1,0.68636,0.75819,0.67845,0.70025,0.68885,0.78702,0.66625,0.9334,0.63205
1.4,1.45,1.5,1.525,1.6,1.8,1.9,1.925,2,2.025,0.00012697,9.1124e-05,9.8692e-05,7.987e-05,0.00010815,6.0556e-05,8.4417e-05,7.856e-05,8.574e-05,7.8928e-05,0.34568,0.35802,0.37037,0.37654,0.39506,0.44444,0.46914,0.47531,0.49383,0.5,1.4,0.05,0.05,0.025,0.075,0.2,0.1,0.025,0.075,0.025,2.025,0.00012697,3.585e-05,1.8822e-05,4.7591e-05,5.8566e-06,6.8115e-06,7.1793e-06,2.3861e-05,2.8277e-05,7.5676e-06,0.00010128,0.34568,0.012346,0.012346,0.0061728,0.018519,0.049383,0.024691,0.0061728,0.018519,0.0061728,0.5,0,3.585e-05,7.5676e-06,1.8822e-05,2.8277e-05,4.7591e-05,2.3861e-05,5.8566e-06,7.1793e-06,6.8115e-06,0,0.28234,0.14823,0.37481,0.046124,0.053645,0.056541,0.18792,0.2227,0.059599,0.79766,0,1,0.71766,0.77726,0.62903,0.85173,0.47692,0.66484,0.61871,0.67525,0.62161
1.75,1.825,1.85,1.875,1.95,1.975,2.025,2.125,2.25,2.325,0.00013168,0.00010708,0.00010781,0.0001029,0.0001062,0.00010288,0.00010569,9.6112e-05,0.00010529,9.7721e-05,0.45752,0.47712,0.48366,0.4902,0.5098,0.51634,0.52941,0.55556,0.58824,0.60784,1.75,0.075,0.025,0.025,0.075,0.025,0.05,0.1,0.125,0.075,1.5,0.00013168,2.4604e-05,4.9146e-06,3.3139e-06,9.5764e-06,7.5736e-06,9.1826e-06,2.8045e-06,3.3021e-06,7.2958e-07,6.9931e-05,0.45752,0.019608,0.0065359,0.0065359,0.019608,0.0065359,0.013072,0.026144,0.03268,0.019608,0.39216,0,2.4604e-05,7.2958e-07,4.9146e-06,3.3021e-06,3.3139e-06,2.8045e-06,9.5764e-06,9.1826e-06,7.5736e-06,0,0.18684,0.037321,0.025166,0.072722,0.057513,0.069732,0.021297,0.025076,0.0055403,0.53105,0,1,0.81316,0.8187,0.78138,0.80646,0.78129,0.80259,0.72987,0.7996,0.74209
0.425,0.45,0.525,0.625,0.725,0.775,0.825,0.85,0.925,0.95,0.00013657,0.00011364,0.00013533,5.8894e-05,8.4435e-05,7.7175e-05,8.2924e-05,7.673e-05,8.8164e-05,7.9175e-05,0.11111,0.11765,0.13725,0.1634,0.18954,0.20261,0.21569,0.22222,0.24183,0.24837,0.425,0.025,0.075,0.1,0.1,0.05,0.05,0.025,0.075,0.025,2.875,0.00013657,2.2928e-05,7.6434e-05,7.2607e-06,6.1938e-06,8.9886e-06,1.1434e-05,5.7494e-06,2.5541e-05,2.1684e-05,5.4771e-05,0.11111,0.0065359,0.019608,0.026144,0.026144,0.013072,0.013072,0.0065359,0.019608,0.0065359,0.75163,0,2.2928e-05,2.1684e-05,7.6434e-05,2.5541e-05,7.2607e-06,5.7494e-06,6.1938e-06,1.1434e-05,8.9886e-06,0,0.16788,0.55966,0.053164,0.045352,0.065816,0.083719,0.042098,0.18702,0.15877,0.40104,0,1,0.83212,0.99089,0.43123,0.61825,0.56508,0.60718,0.56183,0.64555,0.57973
